Fecha,A_Coruña.casos.acum,A_Coruña.altas.acum,A_Coruña.fallecidos.acum,A_Coruña.confirmados_pcr_24h
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,,,
2020-03-17,,,,
2020-03-18,,,,
2020-03-19,,,,
2020-03-20,,,,
2020-03-21,,,,
2020-03-22,,,,
2020-03-23,,,,
2020-03-24,,,,
2020-03-25,,,,
2020-03-26,,,,
2020-03-27,,,,
2020-03-28,,,,
2020-03-29,,,,
2020-03-30,,,,
2020-03-31,,,,
2020-04-01,,,,
2020-04-02,,,,
2020-04-03,,,,
2020-04-04,,,,
2020-04-05,,,,
2020-04-06,,,,
2020-04-07,,,,
2020-04-08,,,,
2020-04-09,,,,
2020-04-10,,,,
2020-04-11,,,,
2020-04-12,,,,
2020-04-13,,,,
2020-04-14,,,,
2020-04-15,,,,
2020-04-16,,,,
2020-04-17,,,,
2020-04-18,,,,
2020-04-19,,,,
2020-04-20,,,,
2020-04-21,,,,
2020-04-22,,,,
2020-04-23,,,,
2020-04-24,,,,
2020-04-25,,,,
2020-04-26,,,,
2020-04-27,,,,
2020-04-28,,,,
2020-04-29,,,,
2020-04-30,,,,
2020-05-01,,,,
2020-05-02,,,,
2020-05-03,,,,
2020-05-04,,,,
2020-05-05,,,,
2020-05-06,,,,
2020-05-07,,,,
2020-05-08,,,,
2020-05-09,,,,
2020-05-10,,,,
2020-05-11,,,,
2020-05-12,,,,
2020-05-13,,,,
2020-05-14,,,,
2020-05-15,,,,
2020-05-16,,,,
2020-05-17,,,,
2020-05-18,,,,
2020-05-19,,,,
2020-05-20,,,,
2020-05-21,,,,
2020-05-22,,,,
2020-05-23,,,,
2020-05-24,,,,
2020-05-25,,,,
2020-05-26,,,,
2020-05-27,,,,
2020-05-28,,,,
2020-05-29,,,,
2020-05-30,,,,
2020-05-31,,,,
2020-06-01,,,,
2020-06-02,,,,
2020-06-03,,,,
2020-06-04,2756,2451,166,
2020-06-05,2763,2465,166,
2020-06-06,2768,2478,166,
2020-06-07,2769,2484,166,
2020-06-08,2769,2490,166,
2020-06-09,2773,2495,166,
2020-06-10,2778,2511,166,
2020-06-11,2782,2511,166,
2020-06-12,2782,2511,166,
2020-06-13,2785,2511,166,
2020-06-14,2786,2511,166,
2020-06-15,2786,2512,166,
2020-06-16,2787,2512,166,
2020-06-17,2790,2515,166,
2020-06-18,2790,2515,166,
2020-06-19,2792,2517,166,
2020-06-20,2797,2521,166,
2020-06-21,2797,2522,166,
2020-06-22,2798,2522,166,
2020-06-23,2798,2524,166,
2020-06-24,2803,2529,166,
2020-06-25,2803,2535,166,
2020-06-26,2804,2557,166,
2020-06-27,2810,2569,166,
2020-06-28,2810,2572,166,
2020-06-29,2810,2573,166,
2020-06-30,2813,2577,166,
2020-07-01,2816,2580,166,
2020-07-02,2820,2581,166,
2020-07-03,2822,2593,166,
2020-07-04,2825,2609,166,
2020-07-05,2826,2630,166,
2020-07-06,2826,2630,166,
2020-07-07,2826,2636,166,
2020-07-08,2827,2636,166,
2020-07-09,2830,2642,166,
2020-07-10,2833,2642,166,
2020-07-11,2836,2648,166,
2020-07-12,2837,2652,166,
2020-07-13,2842,2652,166,
2020-07-14,2842,2653,166,
2020-07-15,2845,2653,166,
2020-07-16,2860,2667,166,
2020-07-17,2866,2673,166,
2020-07-18,2873,2676,166,
2020-07-19,2874,2678,166,
2020-07-20,2876,2682,166,
2020-07-21,2876,2679,166,
2020-07-22,2882,2679,166,
2020-07-23,2899,2694,166,
2020-07-24,2903,2694,166,
2020-07-25,2919,2701,166,
2020-07-26,2926,2701,166,
2020-07-27,2927,2703,166,
2020-07-28,2933,2704,166,
2020-07-29,2944,2707,166,
2020-07-30,2955,2713,166,
2020-07-31,2971,2718,166,
2020-08-01,2996,2723,166,
2020-08-02,3011,2727,166,
2020-08-03,3037,2728,166,
2020-08-04,3044,2728,166,
2020-08-05,3059,2732,166,
2020-08-06,3075,2753,166,
2020-08-07,3097,2754,166,
2020-08-08,3170,2758,166,
2020-08-09,3230,2762,166,
2020-08-10,3303,2766,166,
2020-08-11,3338,2766,166,
2020-08-12,3400,2770,167,
2020-08-13,3492,2781,167,
2020-08-14,3578,2793,167,
2020-08-15,3675,2808,167,
2020-08-16,3770,2824,167,
2020-08-17,3854,2835,167,
2020-08-18,3929,2840,168,
2020-08-19,3980,2852,168,
2020-08-20,4086,2872,168,
2020-08-21,4166,2883,169,
2020-08-22,4270,2931,169,
2020-08-23,4358,2979,172,
2020-08-24,4429,3020,173,
2020-08-25,4479,3066,173,
2020-08-26,4546,3098,173,
2020-08-27,4623,3145,173,
2020-08-28,4727,3202,174,
2020-08-29,4848,3297,174,
2020-08-30,4932,3374,175,
2020-08-31,5015,3446,176,
2020-09-01,5081,3501,177,
2020-09-02,5123,3558,177,
2020-09-03,5224,3620,178,
2020-09-04,5308,3683,179,
2020-09-05,5407,3781,180,
2020-09-06,5481,3877,180,
2020-09-07,5542,3928,180,
2020-09-08,5580,3986,180,
2020-09-09,5636,4031,181,
2020-09-10,5700,4110,183,
2020-09-11,5779,4192,184,
2020-09-12,5823,4299,184,
2020-09-13,5882,4394,184,
2020-09-14,5941,4459,184,
2020-09-15,5964,4532,185,
2020-09-16,6011,4587,187,
2020-09-17,6066,4643,187,
2020-09-18,6141,4716,187,
2020-09-19,6216,4804,188,
2020-09-20,6262,4894,189,
2020-09-21,6314,4975,190,
2020-09-22,6352,5046,192,
2020-09-23,6389,5086,193,
2020-09-24,6461,5154,193,
2020-09-25,6494,5191,194,
2020-09-26,6559,5288,194,
2020-09-27,6601,5361,194,
2020-09-28,6634,5441,194,
2020-09-29,6660,5485,197,
2020-09-30,6694,5521,198,
2020-10-01,6728,5563,201,
2020-10-02,6759,5653,202,
2020-10-03,6798,5748,202,
2020-10-04,6833,5812,202,
2020-10-05,6880,5858,202,
2020-10-06,6910,5889,203,
2020-10-07,6933,5941,205,
2020-10-08,6973,5983,205,42
2020-10-09,7006,6043,206,32
2020-10-10,7045,6090,208,36
2020-10-11,7099,6143,208,51
2020-10-12,7165,6188,211,66
2020-10-13,7179,6223,211,14
2020-10-14,7229,6253,211,51
2020-10-15,7277,6294,213,44
2020-10-16,7335,6338,213,57
2020-10-17,7392,6372,213,57
2020-10-18,7458,6405,214,66
2020-10-19,7522,6456,214,54
2020-10-20,7585,6494,215,62
2020-10-21,7642,6521,216,56
2020-10-22,7710,6582,217,65
2020-10-23,7803,6622,217,92
2020-10-24,7940,6665,218,135
2020-10-25,8058,6718,218,110
2020-10-26,8155,6769,219,96
2020-10-27,8242,6821,221,86
2020-10-28,8345,6840,221,100
2020-10-29,8469,6891,221,123
2020-10-30,8588,6936,221,117
2020-10-31,8719,7026,222,130
2020-11-01,8852,7091,222,131
2020-11-02,8962,7165,224,104
2020-11-03,9048,7218,229,84
2020-11-04,9169,7272,231,120
2020-11-05,9291,7321,235,117
2020-11-06,9457,7392,236,153
2020-11-07,9598,7478,236,135
2020-11-08,9730,7626,238,136
2020-11-09,9839,7716,238,108
2020-11-10,9909,7771,242,66
2020-11-11,10020,7857,245,114
2020-11-12,10147,8048,247,122
2020-11-13,10267,8182,248,111
2020-11-14,10380,8284,252,103
2020-11-15,10485,8415,253,104
2020-11-16,10590,8500,253,104
2020-11-17,10659,8574,253,63
2020-11-18,10788,8660,255,122
2020-11-19,10913,8770,258,122
2020-11-20,11018,8893,259,102
2020-11-21,11136,9024,261,110
2020-11-22,11264,9164,261,125
2020-11-23,11333,9273,265,68
2020-11-24,11391,9365,270,53
2020-11-25,11498,9462,273,100
2020-11-26,11591,9577,274,86
2020-11-27,11692,9696,275,91
2020-11-28,11772,9800,278,73
2020-11-29,11843,9893,278,63
2020-11-30,11906,9970,280,62
2020-12-01,11948,10064,282,36
2020-12-02,12016,10160,285,52
2020-12-03,12079,10271,287,61
2020-12-04,12137,10380,289,53
2020-12-05,12214,10497,291,68
2020-12-06,12254,10591,291,40
2020-12-07,12307,10671,291,52
2020-12-08,12344,10811,293,26
2020-12-09,12391,10909,293,45
2020-12-10,12434,10999,293,35
2020-12-11,12477,11095,293,34
2020-12-12,12528,11219,296,43
2020-12-13,12570,11285,296,41
2020-12-14,12635,11386,298,61
2020-12-15,12656,11431,300,17
2020-12-16,12701,11497,301,40
2020-12-17,12762,11564,303,53
2020-12-18,12806,11644,305,46
2020-12-19,12883,11712,305,69
2020-12-20,12950,11762,305,64
2020-12-21,13003,11820,305,46
2020-12-22,13026,11859,305,10
2020-12-23,13090,11909,305,68
2020-12-24,13150,11971,305,41
2020-12-25,13217,12017,305,64
2020-12-26,13276,12072,307,61
2020-12-27,13312,12136,307,32
2020-12-28,13360,12197,307,50
2020-12-29,13414,12223,311,42
2020-12-30,13535,12272,311,118
2020-12-31,13669,12333,311,115
2021-01-01,13776,12377,312,97
2021-01-02,13894,12434,314,116
2021-01-03,13940,12496,314,43
