Fecha,Galicia.casos.acum,Galicia.altas.acum,Galicia.fallecidos.acum,Galicia.confirmados_pcr_24h
2020-03-11,35,0,0,
2020-03-12,35,0,0,
2020-03-13,85,0,0,
2020-03-14,115,3,0,
2020-03-15,195,4,2,
2020-03-16,245,4,2,
2020-03-17,292,4,3,
2020-03-18,341,4,3,
2020-03-19,453,4,4,
2020-03-20,578,5,5,
2020-03-21,739,6,9,
2020-03-22,915,16,12,
2020-03-23,1208,19,18,
2020-03-24,1415,19,20,
2020-03-25,1653,25,27,
2020-03-26,1915,47,32,
2020-03-27,2322,67,43,
2020-03-28,2772,95,47,
2020-03-29,3139,153,60,
2020-03-30,3723,168,66,
2020-03-31,4039,187,84,
2020-04-01,4432,259,103,
2020-04-02,4842,333,120,
2020-04-03,5219,435,138,
2020-04-04,5625,531,159,
2020-04-05,5944,587,174,
2020-04-06,6151,610,190,
2020-04-07,6331,688,204,
2020-04-08,6538,800,213,
2020-04-09,6758,910,231,
2020-04-10,6946,997,243,
2020-04-11,7176,1082,261,
2020-04-12,7336,1143,274,
2020-04-13,7494,1186,284,
2020-04-14,7597,1240,290,
2020-04-15,7708,1298,299,
2020-04-16,7873,1383,310,
2020-04-17,8013,1456,320,
2020-04-18,8084,1507,334,
2020-04-19,8185,1536,346,
2020-04-20,8299,1548,352,
2020-04-21,8468,1588,360,
2020-04-22,8634,1625,368,
2020-04-23,8805,1676,375,
2020-04-24,8932,1730,382,
2020-04-25,9116,1783,388,
2020-04-26,9176,1803,394,
2020-04-27,9238,1816,405,
2020-04-28,9328,1841,412,
2020-04-29,9484,5393,551,
2020-04-30,9579,5573,551,
2020-05-01,9617,5816,558,
2020-05-02,9652,5981,563,
2020-05-03,9685,6075,569,
2020-05-04,9707,6234,575,
2020-05-05,9783,6561,579,
2020-05-06,9996,6802,588,
2020-05-07,10077,6959,591,
2020-05-08,10221,7138,592,
2020-05-09,10322,7225,595,
2020-05-10,10370,7347,596,
2020-05-11,10388,7444,597,
2020-05-12,10449,7820,598,
2020-05-13,10495,7996,599,
2020-05-14,10545,8157,603,
2020-05-15,10605,8283,603,
2020-05-16,10934,8820,604,
2020-05-17,10960,9155,606,
2020-05-18,10982,9204,607,
2020-05-19,11024,9281,607,
2020-05-20,11081,9411,607,
2020-05-21,11103,9505,608,
2020-05-22,11137,9607,610,
2020-05-23,11180,9684,612,
2020-05-24,11198,9716,613,
2020-05-25,11208,9740,614,
2020-05-26,11212,9764,614,
2020-05-27,11236,9798,615,
2020-05-28,11263,9849,615,
2020-05-29,11284,9896,615,
2020-05-30,11300,9936,615,
2020-05-31,11306,9958,616,
2020-06-01,11308,9970,616,
2020-06-02,11314,9991,616,
2020-06-03,11328,10033,617,
2020-06-04,11335,10148,618,
2020-06-05,11359,10178,618,
2020-06-06,11381,10221,618,
2020-06-07,11384,10242,618,
2020-06-08,11385,10252,618,
2020-06-09,11396,10275,618,
2020-06-10,11432,10338,618,
2020-06-11,11440,10356,619,
2020-06-12,11446,10470,619,
2020-06-13,11454,10476,619,
2020-06-14,11456,10486,619,
2020-06-15,11456,10489,619,
2020-06-16,11459,10491,619,
2020-06-17,11463,10503,619,
2020-06-18,11468,10506,619,
2020-06-19,11478,10518,619,
2020-06-20,11489,10530,619,
2020-06-21,11491,10532,619,
2020-06-22,11497,10535,619,
2020-06-23,11499,10545,619,
2020-06-24,11504,10554,619,
2020-06-25,11515,10563,619,
2020-06-26,11520,10590,619,
2020-06-27,11533,10606,619,
2020-06-28,11540,10611,619,
2020-06-29,11546,10615,619,
2020-06-30,11556,10623,619,
2020-07-01,11565,10633,619,
2020-07-02,11585,10649,619,
2020-07-03,11602,10665,619,
2020-07-04,11620,10722,619,
2020-07-05,11681,10808,619,
2020-07-06,11681,10808,619,
2020-07-07,11692,10817,619,
2020-07-08,11708,10844,619,
2020-07-09,11755,10880,619,
2020-07-10,11776,10898,619,
2020-07-11,11804,10926,619,
2020-07-12,11812,10940,619,
2020-07-13,11824,10943,619,
2020-07-14,11829,10965,619,
2020-07-15,11836,10979,619,
2020-07-16,11864,11018,619,
2020-07-17,11877,11034,619,
2020-07-18,11891,11054,619,
2020-07-19,11896,11070,619,
2020-07-20,11903,11081,619,
2020-07-21,11914,11116,619,
2020-07-22,11930,11131,619,
2020-07-23,11969,11187,619,
2020-07-24,11996,11197,619,
2020-07-25,12026,11211,619,
2020-07-26,12056,11220,619,
2020-07-27,12079,11227,619,
2020-07-28,12097,11236,619,
2020-07-29,12119,11251,619,
2020-07-30,12141,11262,619,
2020-07-31,12171,11272,619,
2020-08-01,12216,11289,619,
2020-08-02,12242,11302,619,
2020-08-03,12285,11307,619,
2020-08-04,12312,11318,619,
2020-08-05,12356,11331,619,
2020-08-06,12400,11369,619,
2020-08-07,12444,11381,619,
2020-08-08,12556,11403,620,
2020-08-09,12640,11428,620,
2020-08-10,12737,11446,621,
2020-08-11,12815,11454,621,
2020-08-12,12925,11476,622,
2020-08-13,13067,11506,622,
